title,author,fileName,fileExtension,filePath,addedDatetitle,author,fileName,fileExtension,filePath,addedDate,genre

Suç ve Ceza,Fyodor Dostoyevski,Fyodor Dostoyevski - Suç ve Ceza.epub,epub,E:\Kitaplar\Fyodor Dostoyevski - Suç ve Ceza.epub,2025-01-15T10:30:00.000000._Istanbul Ansiklopedisi,,._Istanbul Ansiklopedisi,,E:\2. KUTUPHANE\._Istanbul Ansiklopedisi,2025-05-22T21:09:49.755373,Encyclopedia / Reference

1984,George Orwell,George Orwell - 1984.pdf,pdf,E:\Kitaplar\George Orwell - 1984.pdf,2025-01-15T10:31:00.000000Gorgias,Platon,Platon - Gorgias.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Gorgias.epub,2025-05-22T21:09:49.757377,Philosophy

Savaş ve Barış,Lev Tolstoy,Lev Tolstoy - Savaş ve Barış.epub,epub,E:\Kitaplar\Lev Tolstoy - Savaş ve Barış.epub,2025-01-15T10:32:00.000000Kritias,Platon,Platon - Kritias.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Kritias.epub,2025-05-22T21:09:49.757377,Philosophy

Çalıkuşu,Reşat Nuri Güntekin,Reşat Nuri Güntekin - Çalıkuşu.epub,epub,E:\Kitaplar\Reşat Nuri Güntekin - Çalıkuşu.epub,2025-01-15T10:33:00.000000Androidler Elektrikli Koyun Düşler mi,Philip K. Dick,Philip K. Dick - Androidler Elektrikli Koyun Düşler mi.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Philip K. Dick - Androidler Elektrikli Koyun Düşler mi.epub,2025-05-22T21:09:49.757377,Science Fiction

Hobbit,J.R.R. Tolkien,J.R.R. Tolkien - Hobbit.epub,epub,E:\Kitaplar\J.R.R. Tolkien - Hobbit.epub,2025-01-15T10:34:00.000000Sofist,Platon,Platon - Sofist.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Sofist.epub,2025-05-22T21:09:49.757377,Philosophy

Yüzüklerin Efendisi,J.R.R. Tolkien,J.R.R. Tolkien - Yüzüklerin Efendisi.epub,epub,E:\Kitaplar\J.R.R. Tolkien - Yüzüklerin Efendisi.epub,2025-01-15T10:35:00.000000Hayat Yollarında,Panait Istrati,Panait Istrati - Hayat Yollarında.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Panait Istrati - Hayat Yollarında.epub,2025-05-22T21:09:49.757377,Literary Fiction

İstanbul Hatırası,Ahmet Hamdi Tanpınar,Ahmet Hamdi Tanpınar - İstanbul Hatırası.epub,epub,E:\Kitaplar\Ahmet Hamdi Tanpınar - İstanbul Hatırası.epub,2025-01-15T10:36:00.000000Menon,Platon,Platon - Menon.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Menon.epub,2025-05-22T21:09:49.758525,Philosophy

Tutunamayanlar,Oğuz Atay,Oğuz Atay - Tutunamayanlar.epub,epub,E:\Kitaplar\Oğuz Atay - Tutunamayanlar.epub,2025-01-15T10:37:00.000000Meneksenos,Platon,Platon - Meneksenos.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Meneksenos.epub,2025-05-22T21:09:49.758525,Philosophy

Don Kişot,Miguel de Cervantes,Miguel de Cervantes - Don Kişot.epub,epub,E:\Kitaplar\Miguel de Cervantes - Don Kişot.epub,2025-01-15T10:38:00.000000Devlet,Platon,Platon - Devlet.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Devlet.epub,2025-05-22T21:09:49.758525,Philosophy

Simyacı,Paulo Coelho,Paulo Coelho - Simyacı.epub,epub,E:\Kitaplar\Paulo Coelho - Simyacı.epub,2025-01-15T10:39:00.000000Uzayda Dehşet Tora,Peter Randa,Peter Randa - Uzayda Dehşet Tora.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Peter Randa - Uzayda Dehşet Tora.epub,2025-05-22T21:09:49.758525,Science Fiction

Anna Karenina,Lev Tolstoy,Lev Tolstoy - Anna Karenina.epub,epub,E:\Kitaplar\Lev Tolstoy - Anna Karenina.epub,2025-01-15T10:40:00.000000Philebos,Platon,Platon - Philebos.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Philebos.epub,2025-05-22T21:09:49.758525,Philosophy

Sherlock Holmes,Arthur Conan Doyle,Arthur Conan Doyle - Sherlock Holmes.epub,epub,E:\Kitaplar\Arthur Conan Doyle - Sherlock Holmes.epub,2025-01-15T10:41:00.000000Parmenides,Platon,Platon - Parmenides.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Parmenides.epub,2025-05-22T21:09:49.758525,Philosophy

Nutuk,Mustafa Kemal Atatürk,Mustafa Kemal Atatürk - Nutuk.epub,epub,E:\Kitaplar\Mustafa Kemal Atatürk - Nutuk.epub,2025-01-15T10:42:00.000000Şölen-Dostluk (İş Bankası),Platon,Platon - Şölen-Dostluk (İş Bankası).epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Şölen-Dostluk (İş Bankası).epub,2025-05-22T21:09:49.758525,Philosophy

Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,Ahmet Hamdi Tanpınar - Saatleri Ayarlama Enstitüsü.epub,epub,E:\Kitaplar\Ahmet Hamdi Tanpınar - Saatleri Ayarlama Enstitüsü.epub,2025-01-15T10:43:00.000000Uzayda Dehşet,Peter Randa,Peter Randa - Uzayda Dehşet.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Peter Randa - Uzayda Dehşet.epub,2025-05-22T21:09:49.759380,Science Fiction

Kürk Mantolu Madonna,Sabahattin Ali,Sabahattin Ali - Kürk Mantolu Madonna.epub,epub,E:\Kitaplar\Sabahattin Ali - Kürk Mantolu Madonna.epub,2025-01-15T10:44:00.000000Kriton,Platon,Platon - Kriton.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Kriton.epub,2025-05-22T21:09:49.759380,Philosophy
Minos,Platon,Platon - Minos.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Minos.epub,2025-05-22T21:09:49.759380,Philosophy
Toplu Öyküler #1 - Bay Uzay Gemisi,Philip K. Dick,Philip K. Dick - Toplu Öyküler #1 - Bay Uzay Gemisi.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Philip K. Dick - Toplu Öyküler #1 - Bay Uzay Gemisi.epub,2025-05-22T21:09:49.759380,Science Fiction
Uzayda Suikast,Philip K. Dick,Philip K. Dick - Uzayda Suikast.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Philip K. Dick - Uzayda Suikast.epub,2025-05-22T21:09:49.759380,Science Fiction
Sokrates'in Savunması,Platon,Platon - Sokrates'in Savunması.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Sokrates'in Savunması.epub,2025-05-22T21:09:49.759380,Philosophy
Ejderha Mızrağı - Başlangıçlar #1 - Karanlık ve Işık,"Paul B. Thompson, Tonya R. Carter","Paul B. Thompson, Tonya R. Carter - Ejderha Mızrağı - Başlangıçlar #1 - Karanlık ve Işık.epub",epub,"E:\2. KUTUPHANE\5000 Kitap\P Harfi\Paul B. Thompson, Tonya R. Carter - Ejderha Mızrağı - Başlangıçlar #1 - Karanlık ve Işık.epub",2025-05-22T21:09:49.760449,Fantasy
Tolstoy'un Gizli Raporlarında Osmanlı İmparatorluğu,Pyotr Andreyeviç Tolstoy,Pyotr Andreyeviç Tolstoy - Tolstoy'un Gizli Raporlarında Osmanlı İmparatorluğu.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Pyotr Andreyeviç Tolstoy - Tolstoy'un Gizli Raporlarında Osmanlı İmparatorluğu.epub,2025-05-22T21:09:49.760449,Classic Literature
Devlet Adamı,Platon,Platon - Devlet Adamı.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Devlet Adamı.epub,2025-05-22T21:09:49.760449,Philosophy
Mektuplar,Platon,Platon - Mektuplar.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Mektuplar.epub,2025-05-22T21:09:49.760449,Philosophy
Android ve İnsan,Philip K. Dick,Philip K. Dick - Android ve İnsan.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Philip K. Dick - Android ve İnsan.epub,2025-05-22T21:09:49.762204,Science Fiction
Bir Tereddüdün Romanı,Peyami Safa,Peyami Safa - Bir Tereddüdün Romanı.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Peyami Safa - Bir Tereddüdün Romanı.epub,2025-05-22T21:09:49.762204,Literary Fiction
Bizans Tarihi,Paul Lemerle,Paul Lemerle - Bizans Tarihi.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Paul Lemerle - Bizans Tarihi.epub,2025-05-22T21:09:49.762204,History
Sokrates'in Savunması (İş Bankası),Platon,Platon - Sokrates'in Savunması (İş Bankası).epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Sokrates'in Savunması (İş Bankası).epub,2025-05-22T21:09:49.762204,Philosophy
Phaidon,Platon,Platon - Phaidon.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Phaidon.epub,2025-05-22T21:09:49.762204,Philosophy
Epinomis,Platon,Platon - Epinomis.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Platon - Epinomis.epub,2025-05-22T21:09:49.762204,Philosophy
Tarihin Büyük Sırları,Paul Aron,Paul Aron - Tarihin Büyük Sırları.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Paul Aron - Tarihin Büyük Sırları.epub,2025-05-22T21:09:49.762204,History
Çoluk Çocuk,Patti Smith,Patti Smith - Çoluk Çocuk.epub,epub,E:\2. KUTUPHANE\5000 Kitap\P Harfi\Patti Smith - Çoluk Çocuk.epub,2025-05-22T21:09:49.762204,Children
Geleceğe Yön Veren Başarı Öyküleri,Kolektif,Kolektif - Geleceğe Yön Veren Başarı Öyküleri.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Kolektif - Geleceğe Yön Veren Başarı Öyküleri.epub,2025-05-22T21:09:49.764207,Self-help
Tanrı'nın Tarihi,Karen Armstrong,Karen Armstrong - Tanrı'nın Tarihi.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Karen Armstrong - Tanrı'nın Tarihi.epub,2025-05-22T21:09:49.764207,History
Rakı Ansiklopedisi,Kolektif,Kolektif - Rakı Ansiklopedisi.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Kolektif - Rakı Ansiklopedisi.epub,2025-05-22T21:09:49.764207,Encyclopedia / Reference
Asker Kaçağı - Savaşa Karşı Bilimkurgu Öyküleri,Kolektif,Kolektif - Asker Kaçağı - Savaşa Karşı Bilimkurgu Öyküleri.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Kolektif - Asker Kaçağı - Savaşa Karşı Bilimkurgu Öyküleri.epub,2025-05-22T21:09:49.764207,Science
Uluslararası İlişkiler Tarihi 1,Kolektif,Kolektif - Uluslararası İlişkiler Tarihi 1.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Kolektif - Uluslararası İlişkiler Tarihi 1.epub,2025-05-22T21:09:49.764207,History
Konuşarak İkna Psikolojisi,Kevin Hogan,Kevin Hogan - Konuşarak İkna Psikolojisi.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Kevin Hogan - Konuşarak İkna Psikolojisi.epub,2025-05-22T21:09:49.764207,Psychology
Uluslararası İlişkiler Tarihi 4,Kolektif,Kolektif - Uluslararası İlişkiler Tarihi 4.epub,epub,E:\2. KUTUPHANE\5000 Kitap\K Harfi\Kolektif - Uluslararası İlişkiler Tarihi 4.epub,2025-05-22T21:09:49.764207,History
